                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98494,                 2.1509,                 1.5077,                0.57308,                0.75735,                 0.6733,                0.31662,                 1.2671,                 7.1726,                  2.178,                0.00048,                0.00048,                0.00048
                      2,                0.92677,                 1.3629,                 1.4129,                0.62979,                0.53846,                0.67695,                0.35149,                  1.442,                  4.294,                 2.7848,              0.0009606,              0.0009606,              0.0009606
                      3,                 1.0364,                 1.2676,                 1.5353,                 0.3474,                0.68257,                0.44771,                0.15837,                 2.0703,                 8.5062,                 3.5425,              0.0014214,              0.0014214,              0.0014214
                      4,                 1.1414,                 1.2567,                 1.6256,                0.43072,                0.46154,                0.34079,                0.15127,                 1.8195,                 2.8923,                 2.7496,              0.0018624,              0.0018624,              0.0018624
                      5,                 1.2219,                 1.4224,                 1.6759,                0.22382,                0.33333,                0.13286,                0.03597,                 2.4771,                 3.9791,                 3.2832,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1845,                 1.2732,                 1.6614,                 0.1743,                0.10256,                0.10259,                0.04481,                 3.7378,                 12.906,                 4.4174,               0.001802,               0.001802,               0.001802
                      7,                 1.1979,                 1.2551,                 1.6544,                0.57308,                0.64103,                0.60997,                0.29397,                 1.6007,                 3.0015,                 2.5637,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.174,                 1.2646,                 1.6259,                0.66574,                0.46154,                0.61691,                 0.3437,                 1.4833,                 2.9714,                 2.3984,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0991,                 1.1679,                 1.5606,                0.84279,                0.66667,                0.72567,                 0.3795,                 1.5722,                 1.7021,                 2.7569,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0749,                 1.0911,                 1.5312,                0.44308,                0.74359,                0.43033,                0.20998,                 1.4809,                   1.55,                 2.2356,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1016,                 1.1293,                 1.5593,                0.66985,                0.88452,                0.78617,                0.40274,                 1.2342,                 1.4039,                 2.1406,               0.001604,               0.001604,               0.001604
                     12,                 1.0157,                 1.0183,                 1.5104,                0.74969,                0.79487,                0.85434,                0.60302,                0.96406,                 1.1878,                 1.7749,              0.0015644,              0.0015644,              0.0015644
                     13,                0.95359,                0.93563,                 1.4679,                0.77264,                0.61538,                0.72195,                 0.5059,                0.86561,                 1.4049,                 1.6055,              0.0015248,              0.0015248,              0.0015248
                     14,                0.97376,                0.95498,                 1.4454,                0.74953,                0.87179,                0.85201,                0.62312,                 1.0989,                 1.0351,                 1.8781,              0.0014852,              0.0014852,              0.0014852
                     15,                0.93039,                0.88224,                   1.44,                0.85309,                0.92308,                0.92758,                 0.5922,                 1.0734,                0.90878,                 1.9132,              0.0014456,              0.0014456,              0.0014456
                     16,                0.94389,                0.88362,                 1.4066,                0.92468,                0.84615,                0.91534,                0.58192,                 1.0554,                0.98815,                 1.8611,               0.001406,               0.001406,               0.001406
                     17,                0.88837,                0.84282,                 1.3762,                0.83666,                0.79487,                0.83527,                0.56562,                 1.1131,                 1.1799,                 2.0037,              0.0013664,              0.0013664,              0.0013664
                     18,                0.89972,                0.89319,                 1.3923,                 0.9429,                0.92308,                0.96051,                0.75991,                0.82085,                0.83658,                 1.5644,              0.0013268,              0.0013268,              0.0013268
